下列有关增强扫描的正确描述为：（   ）,脑膜瘤的特征是有血脑屏障结构的增强,星形细胞瘤的特征是无血脑屏障结构的增强,血管外增强是指对比剂进入组织细胞外间隙,星形细胞瘤增强幅度大于血管网织细胞瘤,对疑有颅脑肿瘤患者应先行增强扫描
下列有关脑膜的描述中错误的是哪一项：（   ）,脑膜由外向内为硬脑膜、蛛网膜和软脑膜,硬膜与颅骨内板之间的间隙称硬膜外腔,脑膜中动脉走行于硬膜内外层之间,硬膜内层向内折叠形成大脑镰、小脑幕,软脑膜伸入沟裂
额叶下部血肿破裂，出血动脉是：（   ）,颈内动脉,大脑前动脉,大脑中动脉,大脑前、中动脉,大脑后动脉
脑室内囊虫多位于：（   ）,第四脑室,第三脑室,侧脑室额角,侧脑室三角区,侧脑室下角
减轻或消除CT图像部分容积效应，可采用方法,提高扫描矩阵,较小扫描层厚,骨算法重建,提高扫描X线条件,加大扫描层距
超快速CT扫描是指,螺旋CT扫描,动态扫描,电子束CT扫描,快速进床扫描,以上均不是
螺旋CT与传统CT最主要的区别是,快速扫描,动态扫描,同层扫描,体积扫描,以上均不是
当窗宽为200，窗位为300时，其CT值显示范围为,100～500,50～450,200～400,150～550,200～250
不属于CT基本设备,计算机和数据采集、阵列处理系统,照相机和其他用于资料的存储设备,扫描架、扫描床和X线发生系统,操作台和独立计算机设备系统,独立诊断台和独立计算机设备系统
颌面外伤CT检查最好选用：（   ）,轴位、冠状位平扫和增强扫描,轴位、冠状位、软组织窗和骨窗,轴位、软组织窗和骨窗,冠状位、软组织窗和骨窗,轴位平扫和增强扫描
常规耳颞骨CT扫描使用：（   ）,轴位，基底线为上眶耳线，层厚1～1.5mm,轴位，基底线为下眶耳线，层厚1～1.5mm,轴位，基底线为上眶耳线，层厚10～15mm,矢状位，层厚2～4.5mm,冠状位，层厚10～15mm
在CT图像上，颌后静脉是以下哪些结构分界的解剖标志：（   ）,腮腺与颌下腺,腮腺与腺样体,腮腺与颚扁桃体,颌下腺与颚扁桃体,腮腺深叶与浅叶
面神经管常分为几段：（   ）,2段,3段,4段,5段,6段
面神经管在颞骨内走行呈：（   ）,直线,1曲2段,2曲3段,2曲4段,弧形
"患者，女，52岁，右侧乳腺癌术后2年余，发现左侧颈部无痛性肿物1年。CT平扫示：左侧颈部不规则肿物，类椭圆形，边缘模糊不清，呈分叶征，大小约16cm×6cm，密度不均匀，可见密度减低区。增强扫描轻度强化。首选的诊断是：（   ）

[YS398_140_1.gif]",淋巴结转移瘤,淋巴瘤,甲状腺癌,颈淋巴结核,神经纤维瘤
CT矩阵与像素大小的关系,设备最小空间分辨率×矩阵=像素大小,设备最小空间分辨率÷矩阵=像素大小,重建显示野直径÷矩阵=像素大小,扫描野÷矩阵=像素大小,以上均不正确
根据CT工作原理，指出下列哪一项是不正确的,探测器接受的信号须放大并经过模/数转换,模/数转换后的数据为显示数据,计算机控制扫描、数据采集、图像重建、显示和存储各个环节,Ap（阵列处理机）处理后的数据为显示数据,图像存储包括拍片、磁带激光盘存储
当两个物体的密度差大于0.35%即可被CT分辨时，表明该CT机器的密度分辨率为,35%,3.5%,10%,0.35%,以上都不是
在日常工作中，通过调节窗宽窗位来观察图像，要提高观察范围内组织的对比分辨率首先应采取,适当提高窗位,适当增大窗宽,适当降低窗位,适当减小窗宽,以上均不是
下列属于正常变异较大的脑池是,视交叉池,鞍上池,环池,枕大池,大脑大静脉池
前臂静脉团注注射增强扫描，升主动脉及主动脉弓的平均循环时间大约为多少秒：（   ）,±10秒,±20秒,±30秒,±40秒,±50秒
从头侧向足侧轴位CT图像上，最先发现的解剖结构是：（   ）,右前段肺动脉,左侧肺门血管,左侧肺动脉弓,右侧肺动脉主干,气管分叉
上纵隔五个血管层面不包括下述哪支血管：（   ）,左头臂静脉,无名动脉,左颈总动脉,左锁骨下动脉,右锁骨下动脉
"CT显示""五个血管断面""见于胸部哪个层面：（   ）",气管分叉层面,胸廓入口上层面,胸廓入口层面,主动脉弓上层面,主动脉弓层面
"胸廓入口""八个血管层面""不含下列哪支血管：（   ）",左颈总动脉,左头臂静脉,右锁骨下动脉,右锁骨下静脉,左锁骨下静脉
下述哪项不是心包积液常见的X线征象：（   ）,心脏呈普大型,心缘搏动减弱,上腔静脉扩张,主动脉搏动正常,肺血管纹理增多
结核性胸膜炎发病原因少见于：（   ）,血源性感染,继发性肺结核直接蔓延,肺结核淋巴管逆流,结核菌过敏反应,原发性肺结核侵及胸膜
下述肺良性肿瘤较多见的是哪一种：（   ）,血管瘤,平滑肌瘤,脂肪瘤,腺瘤,纤维瘤
缩窄性心包炎中，①上腔静脉扩张；②肺瘀血；③间质性肺水肿；④右心房增大；⑤左心房增大，反映左心缩窄的是：（   ）,①+②+③+④,①+②+③+⑤,①+②+③+④+⑤,②+③+④,①+③+⑤
与缩窄型心包炎X线征象不相符的是：（   ）,左心房增大,胸腔积液,心腔大小可正常,右下肺动脉呈残根状,上腔静脉扩张
先天性膈疝在以下各项中，哪种最常见：（   ）,主动脉裂孔疝,腔静脉裂孔疝,食管裂孔疝,Bochdalek孔疝,Morgagni孔疝
64排MSCT和EBCT诊断冠心病，常用的检查项目是：（   ）,左室射血分数,冠状动脉成像,心肌血流灌注,室壁及室间隔厚度测量,血管内粥样硬化斑块分析
下列肺叶外型肺隔离症的临床表现与病理特点中，哪项正确：（   ）,为副肺叶或肺段，被独立的脏层胸膜所包裹,病变组织多为无功能的实性肺组织,静脉回流经下腔静脉、门静脉、奇静脉或半奇静脉,多位于肺下叶与横膈之间，偶见膈下或纵隔内,以上都是
肺隔离症的病理及其分型中哪项是错误的：（   ）,部分发育不全的肺与正常支气管不相通，无呼吸功能,病区有异常血管供应，常来自胸主动脉下段或腹主动脉上段,肺叶内型：多位于下叶后基底段，隔离的肺与同叶正常的肺组织被同一脏层胸膜所包裹，分界清楚，但却无法分离,肺叶外型：为副肺叶或副肺段，常为膈下或膈与肺下叶之间的一块无功能的肺组织,常为大囊肿或多发小囊肿，无实质性的块状肺组织，常与支气管相通
婴幼儿间质性肺炎最重要的病理改变是：（   ）,肺不张,间质纤维化,肺实变,肺气肿,支气管扩张
空间分辨率又称高对比分辨率，是指CT对于物体空间大小的鉴别能力。下列主要影响因素哪一项是不正确的,探测器的几何尺寸,被测物体的几何尺寸,图像重建的算法,探测器的数量和总数据量,探测器之间的间隙
下列关于窗位的概念，正确的是,窗位相当于显示灰阶的中心,不同机器的窗位值,窗位规定所显示CT值的范围,窗位与所显示的组织CT值无关,通常窗位选择以水的CT值为标准
以下哪一项不属于影像后处理技术,曲面重组,薄层骨算法重建,仿真内窥镜,表面阴影显示,最大密度投影
以下关于血管内碘对比剂副反应的论述哪一项是不正确的,糖尿病患者使用对比剂副作用高于正常人,对比剂可造成一过性低血钙,减少使用对比剂的剂量可防止副反应,使用非离子型对比剂可降低副反应的发生率,对比剂的高渗透压是副反应发生的因素之一
多层螺旋CT的定义是,可同时采集多个层面数据的CT设备,可同时处理多个层面影像数据的CT设备,可同时显示多个层面影像的CT设备,可同时重建多个层面图像的CT设备,可同时存储多个层面影像数据的CT设备
下面哪项不是急性胆囊炎的特有CT表现：（   ）,胆囊壁增厚>3.0mm，边缘模糊,胆囊壁周围水肿呈环形低密度影,胆囊增大，横径>4.5cm,胆总管和胰管扩张,胆囊腔或壁内可有气体形成
下列哪一项不是慢性胆囊炎的CT表现：（   ）,胆囊缩小或扩大,囊壁增厚>3mm,胆囊壁出现钙化,胆囊周围积液,合并胆囊结石
下列哪一项不符合慢性胆囊炎的CT表现：（   ）,胆囊缩小,胆囊腔内气液平面,胆囊壁增厚,胆囊壁钙化,常合并结石
除哪一项外均是慢性胆囊炎的CT征象：（   ）,胆囊壁较均匀增厚,胆囊壁钙化,胆囊扩张或缩小,胆囊周围可见低密度环影,胆囊内有结石影
关于胆管结石的CT表现，下列哪种说法是错误的：（   ）,胆管内环形或圆形致密影,出现靶征或新月征,扩张的胆总管逐渐变细中断，未见肿块,胆管结石只含有胆固醇成分,同时可以有肝内外胆管结石和胆囊结石
胃憩室的好发部位是,胃小弯,胃大弯,胃窦部,幽门部,以上都不是
关于腹膜肿瘤的错误描述是哪一项：（   ）,原发性以腹膜间皮瘤为主,继发性多来自腹内脏器肿瘤的种植扩散,可发生于腹膜的壁或脏层以及系膜,通常不发生腹水,肿瘤常呈板块状或结节状
网膜囊的毗邻关系，哪项错误：（   ）,左上腹腔后部潜在的间隙,仅靠网膜孔与大腹腔相连,前壁为后腹膜覆盖的左肾上腺及胰腺,左侧为胃脾韧带与脾肾韧带相融合于脾蒂,右侧为下腔静脉及肝十二指肠韧带
肾血管平滑肌脂肪瘤与肾癌鉴别的关键是：（   ）,肿瘤大小,肿瘤形态,肿瘤有无强化,瘤内有无脂肪成分,以上都不是
哪一项不是肾细胞癌的CT表现：（   ）,平扫多呈等密度或略低密度,较大肾癌密度多不均匀,中心或边缘可有钙化,增强扫描实质期肿瘤强化多高于肾实质,肾静脉和下腔静脉可有癌栓
关于肝脏分段的标记，错误的是哪一项,以肝静脉为主要分段标记,右肝静脉将肝分成左、右叶,左肝静脉将左肝分成内、外两段,右肝静脉将右肝分成前、后两段,中肝静脉将肝分成左、右叶
正常第一肝门部结构包括：（   ）,门静脉、肝静脉、总肝管,肝静脉、总肝管、肝动脉,总肝管，总胆管，肝动脉,总肝管、门静脉、肝动脉,总胆管、肝动脉、门静脉
第二肝门的解剖结构组成是哪一项：（   ）,肝左、肝中、肝右静脉,门静脉、下腔静脉及肝门淋巴结,门静脉及下腔静脉,门静脉、下腔静脉及胆管,门静脉、肝动脉及胆管
关于肝门部结构的描述，哪一项不正确：（   ）,门静脉由脾静脉和肠系膜下静脉汇合而成,肝动脉位于门静脉的前内侧,肝总管在门静脉的前外侧,肝静脉在第二肝门处汇入下腔静脉,正常时肝内胆管不显示
肝脏伸入到门静脉和下腔静脉之间的乳状突属于：（   ）,肝方叶,肝尾叶,肝右后叶,左肝外叶,以上都不是
属静脉肾盂造影禁忌证的是,肾盂结石,膀脱结石,肾动脉狭,尿道狭窄,严重血尿
以下哪项临床表现不属于血管内应用碘对比剂的副反应,呕吐,荨麻疹,腹泻,球结膜水肿,面部潮红
常用CT影像后处理的方法是,最大密度投影，曲面重组，骨算法重建,表面阴影显示，骨算法重建，曲面重组,最大密度投影，曲面重组，表面阴影显示,最大密度投影，双相增强CT扫描，表面阴影显示,表面阴影显示，骨算法重建，曲面重组
X线穿过均匀物质时，其衰减与下列哪一项因素有关,物质与X线源的距离,物质的衰减系数,物质的面积,X线束的层厚,X线的曝光时间
下列用于减少CT影像运动伪影的方法，不正确的是,减少或不做吞咽动作,提高扫描速度,降低X线扫描剂量,检查前训练患者呼吸,儿科患者服用镇静剂
膀胱CT扫描的主要目的是：（   ）,早期诊断,显示肿瘤突入腔内的情况,良恶性肿瘤的鉴别诊断,肿瘤与非肿瘤性病变的鉴别诊断,显示肿瘤侵犯膀胱周围组织和淋巴结转移
膀胱癌最常见的起始症状是：（   ）,尿频、尿痛,排尿困难,血尿,腹部肿块,尿路梗阻
下列哪项不是膀胱癌的起始症状,血尿,尿频和尿急,排尿困难,下腹肿块,排出肿瘤碎屑
膀胱癌的起始症状不可能是：（   ）,血尿,尿频、尿痛,排尿困难,充溢性尿失禁,下腹部肿块
CT在膀胱癌诊断上的主要作用是,区别肿瘤浸润膀胱壁的深度,对膀胱癌各期的准确分型,发现膀胱壁局限性增厚或结节,对淋巴结是否转移作出精确判断,确定是否伴有尿路梗阻
将X线束中的低能成分预吸收的措施是,遮光筒,滤过板,遮线器,滤线栅,缩小照射野
关于照片影像对比度的叙述，错误的是,乳腺选用低电压为提高影像对比,离体的肺组织照片对比低,骨骼照片有良好的对比,消化道组织本身影像对比最好,高电压摄影影像对比低
为了减少辐射剂量，CT透视时应当严格控制,球管电压,扫描范围,扫描层厚,曝光时间,球管旋转速度
对CT增强扫描原理和意义的论述错误的是,对比剂使病变组织的密度、形态、大小、显示更为突出,当两种组织对X线的吸收差加大时，图像对比增加,不同的病变性质对对比剂吸收数量和分布不同,不同的组织结构对对比剂吸收数量和分布不同,增强扫描主要是增加组织间的天然对比
颞颌关节CT平扫检查，患者需要做的准备是,大量饮水,去除耳部金属饰物,碘过敏试验,禁食,屏气训练
骨髓的主要成分是：（   ）,红细胞,脂肪细胞,白细胞,网状细胞,神经纤维
怀疑股骨头无菌坏死，CT检查不易显示：（   ）,小囊性变,骨质疏松,小裂纹骨折,小梁密度增高,关节面软骨破坏
股骨头坏死CT检查不适用于：（   ）,观察圆韧带损伤,观察关节面下骨质疏松或囊变,观察股骨头关节面塌陷,观察骨折,观察新生骨
股骨头无菌坏死早期诊断最佳的影像检查方法是：（   ）,CT平扫,X线平片,MRI,核医学,血管造影
早期股骨头无菌坏死的首选检查方法是哪一种：（   ）,CT平扫,CT增强,CT平扫+增强,MRI,X线平扫+体层
根据CT工作原理，X射线穿过人体后最先被下面哪一部分接收,探测器,阵列处理器,磁盘,计算机,照相机
关于碘过敏反应的描述错误的是,造影前用抗过敏药可减少碘过敏发生,碘过敏阴性则不会发生碘过敏反应,用同一批号碘造影剂也要做碘过敏试验,多见于血管内给予含碘造影剂,检查室应备足抢救设备和药品
对比度分辨率的概念正确的是,对于物体空间大小的鉴别能力,对比度分辨率就是空间分辨率,能分辨最低密度差别的能力,单位长度内能观察到的线对数,对比度分辨率就是影像的对比度
固体探测器的主要优点是,对X线的不感应区较大,整个阵列中的探测器不容易做到完全一致,晶体发光后余晖较长,有较高的光子转换效率,相邻探测器之间存在缝隙
血管内造影剂浓度高且持续时间长的造影剂注射方法是,多次大剂量急速注射法,大量快注-滴注法,团注法,滴注-大量快注法,点滴灌注法
可诊断颈椎椎管狭窄的CT测量值是：（   ）,C2水平椎管前后径15mm,C3水平硬膜囊前缘前后径13mm,C4水平椎管前后径10mm,C5水平硬膜囊前缘前后径11mm,C6水平椎管前后径13mm
腰椎椎管前后径CT测量值的正常范围是：（   ）,25～30mm,15～25mm,12～15mm,10～12mm,8～10mm
有关腰椎椎管CT检查和测量，错误的是：（   ）,前后径指测量椎体后缘中点至棘突基底部中线部位的距离,横径指测量两椎弓根内缘之间的距离,前后径正常范围在15～25mm,横径正常范围在20～30mm,CT增强扫描较平扫更精确
关于脊髓蛛网膜炎，下列影像学检查方法最佳的是：（   ）,X线平片,CT平扫,增强CT,CTA,CT脊髓造影
颈1、2椎管前后径不应小于：（   ）,11mm,12mm,13mm,14mm,15mm
不属于图像后处理方法的是,最大密度投影,容积再现,反投影重建,多平面重组,仿真内窥镜
不能显示内听道影像的摄影体位是,乳突侧位,斯氏位,汤氏位,颅底位,经眶位
关于肾盂造影的叙述，错误的是,静脉法简单易行,静脉法必须行碘过敏试验,能显示肾盂、肾盏的形态变化,肾功能丧失时尽量采用静脉法,静脉法可了解肾功能
选择性DSA导管先端位置确定的主要依据是,病变的性质,血管的粗细,病变的大小,病变的范围,血流动力学变化
双侧大脑半球最大的连接结构,大脑镰,透明隔,桥脑,胼胝体,内囊
CT前准直器的作用,扫描的范围,相邻两个扫描层面的距离,控制辐射剂量,X线管焦点距离,控制扫描准直层厚
当层厚选用5mm，螺距等于1.0时，表明球管每旋转360°，检查床前进,0mm（床不动）,10mm,5mm,15mm,以上都不对
骨骼摄影距离最佳选择是,150cm,100cm,80cm,90cm,70cm
SSD方法的优点不包括,三维效果明显,立体感强,对于体积、距离测量准确,可实施三维图像操作,能显示病灶内部结构，并提供病灶的密度信息
有关像素和体素的不准确的概念是,像素实际上是体素在成像时的表现,像素是按矩阵排列的基本成像单位,体素是一个三维概念,像素越小，图像的分辨率相对越高,CT图像的基本组成单元称为体素
下面哪种疾病是慢性肺源性心脏病的最常见原发病(  )。,慢性支气管炎并发阻塞性肺气肿,支气管哮喘,肺结核,胸廓畸形,支气管扩张
小叶中心型肺气肿的典型CT表现包括(  )。,胸膜下多发小透亮低密度灶,肺内散在分布的小圆形、无壁的低密度区,广泛肺大疱形成,肺低密度区分布以下肺、前部肺实质明显,蜂窝样改变
8岁小儿，患急性传染病后，又出现气急、发绀、咳嗽、鼻翼扇动等症状，而呼吸体征少。X线片主要表现为肺纹理增强、网状及小结节状影、肺气肿等。该病最可能诊断为(  )。,大叶性肺炎,化脓性肺炎,过敏性肺炎,间质性肺炎,放射性肺炎
关于横膈附近的胸腔积液的CT表现，错误的是(  )。,胸水可将横膈衬托出来，表现为线样弧线影,胸腔积液位于膈影外侧,常规扫描胸水与肝的交界面模糊，薄层高分辨扫描时，界面模糊征不复存在,积液量多时膈脚向前外侧移位,肝脏的后内缘见到液体积聚提示为胸水
X线胸片显示病理性第三弓指的是(  )。,右室增大,肺动脉增粗,左室增大,左心耳突出,以上均不是
Ebstein畸形的X线表现中，哪项错误(  )。,右心房明显增大,左心房明显增大,三尖瓣下移畸形,肺血减少,肺动脉段平直或凹陷
肺癌最常见的转移途径是(  )。,血行转移,直接蔓延,支气管播散,淋巴转移,种植转移
体循环起于(  )。,右心室,右心房,左心室,左心房,主动脉
女，42岁，胸痛3天，CT检查示右肺中叶近外侧胸壁处类圆形病灶，边界清楚，无钙化，邻近胸膜增厚，增强扫描呈厚壁环样强化。为明确诊断应采取的最佳措施是,纤维支气管镜检查,MRI,PPD,抗炎治疗后复查,ESR
在肺癌的TNM分期中T1NxM0是指(  )。,肿瘤最大直径≤3cm，未见区域性淋巴结转移，无远离原发灶部位的转移,肿瘤最大直径＞3cm，未见区域性淋巴结转移，无远离原发灶部位的转移,肿瘤最大直径≤3cm，未见区域性淋巴结转移，无脑的转移,肿瘤最大直径≤3cm，区域性淋巴结不能评价，无远离原发灶部位的转移,肿瘤最大直径≤2.5cm，区域性淋巴结不能评价，无远离原发灶部位的转移
肺炎病程在几周内未全部吸收称为慢性肺炎(  )。,4周,1周,3周,2周,5周
